,Topic,Count,Name,Representation,Representative_Docs
0,-1,14796,-1_空调_开空调_时候_一天,"['空调', '开空调', '时候', '一天', '空调坏', '感觉', '吹空调', '知道', '每天', '天气']","['同事 怕冷，空调 关 ，   热得 死 果然 冷 冷死热 热死', '冬天 中午 吃饭，现 坐   对 空调吹 觉得冷', '好冷  真 好冷 这个 为什么 开空调 大家  冷吗 新 一 希望 能 自己 实验室休息区拥有一张桌子 因为那 永远开 空调']"
1,0,2204,0_老师_教室_学校_学生,"['老师', '教室', '学校', '学生', '时候', '有空调', '上课', '吹空调', '没有', '空调']","['空调坏 ，老师 下午 用干活', '老师  事业单位，其他事业单位公务员们 吹 空调，老师 教室 大汗淋漓地讲课，回到 ，又 大汗淋漓地改作业 天天 提高老师工资待遇，改善教师工作环境，  没落实  安庆·望江', '老师  为人师表   穿紧身 衣服   小吊带装进 柜子 老师    穿 过膝 裙子   裙子装进 柜子 老师  美甲耽误码字   指甲剪短 老师    有空调夏天  穿凉鞋寒气入体   运动鞋 冒汗 明天 度 明天 度 明天 度 哦 对 来    度老师 老师 老师  活']"
2,1,1703,1_太冷_好冷_冻死_这么冷,"['太冷', '好冷', '冻死', '这么冷', '冬天', '空调', '开空调', '空调真', '制冷', '空调坏']","['这么冷 天 还 开空调，感觉 冻死', '空调开 实  太冷 ，感觉 感冒', '开 空调  还 好冷']"
3,2,901,2_上海_深圳_北京_广州,"['上海', '深圳', '北京', '广州', '杭州', '武汉', '广东', '南京', '重庆', '空调']","['深圳 秋冬失踪  导致 错乱 穿 衣服     开空调   热死  深圳', '度 上海，  还开 冷空调', '度 深圳 开 度 空调🥶']"
4,3,486,3_空调终于修好_空调开_开空调_air,"['空调终于修好', '空调开', '开空调', 'air', '空调', 'the', '这空调开', 'offi', '已经开空调', 'equipped']","['开空调  ❄️❄️❄️', '韩国效果最好 迷 空气净化器，它  韩国DR.USB IHC-DR H 迷 空气净化器，适合小型空间，可以车载   卧室 可以抗菌 去除微尘 去除异味 抗病毒提升免疫力，对抗雾霾有显著效果，USB接口供电，无需充电，无需更换过滤网，没有其他费用产生，  真正 便携式氧吧 北京等多个北方城市', '\ue627翻译硕士备考学习  .这所大学所有   安装 空调 [误] All the offi es in the university are equipped with air- onditions.[正] All the offi es in the university are air- onditioned.注 air- ondition 为动词，意为“ .上安装空调” 误句将 air- ondition']"
5,4,458,4_皮肤_空调房喷一喷_可以带妆使用_随时随地喷一喷,"['皮肤', '空调房喷一喷', '可以带妆使用', '随时随地喷一喷', '适喷一喷', '晒后急救喷一喷', '可以当做保湿水使用', '皮肤干燥喷一喷', '洗完脸直接喷一喷', '轻轻一喷']","['👑新品上市 今 首发～沁凉喷雾今 夏天冰冰凉凉喷涂试水光肌  她👇🏻✅洗完脸直接喷一喷✅ 空调房喷一喷✅皮肤干燥喷一喷✅皮肤 适喷一喷✅随时随地喷一喷✅晒后急救喷一喷✅可以带妆使用 ✅可以当做保湿水使用 轻轻一喷 像雾像雨又像风 一款吊炸天  水光肌喷雾👏?', '🌞新品上市 沁凉喷雾今 夏天冰冰凉凉喷涂试水光肌  它 👇🏻✅洗完脸直接喷一喷✅ 空调房喷一喷✅皮肤干燥喷一喷✅皮肤 适喷一喷✅随时随地喷一喷✅晒后急救喷一喷✅可以带妆使用 ✅可以当做保湿水使用 轻轻一喷 像雾像雨又像风 一款吊炸天  水光肌喷雾👏🏻', '☀️新品上市 沁凉喷雾今 夏天冰冰凉凉喷涂试水光肌  它 👇🏻✅洗完脸直接喷一喷✅ 空调房喷一喷✅皮肤干燥喷一喷✅皮肤 适喷一喷✅随时随地喷一喷✅晒后急救喷一喷✅可以带妆使用 ✅可以当做保湿水使用 轻轻一喷 像雾像雨又像风 一款吊炸天  水光肌喷雾👏🏻']"
6,5,431,5_同事_姐姐_开空调_让开空调,"['同事', '姐姐', '开空调', '让开空调', '大姨妈来', '妈妈', '然后', '阿姨', '把空调关', '她爸她妈']","['好久没 老太太 ，自从上次跟她吵 一架，态度好多 ，一方面 她欺软怕硬，一方面 公司马上 裁员 干  几天有些事可能 觉得没必  吧 攒 一段时间还 再讲两个  .自私 暖气还没停，人睡 后怕冷 正常现象，偏偏她中午午休时间非 关空调，原因 嫌吵，整个  想开， 她非 关，她', '大学寝室室友总 让 开空调怎么办？ 一般遇到这样 情况， 整个寝室一起投票 少数服从多数，总 能寝室 个人 迁  她 人吧？寝室又  她家， 又 她爸她妈  能总惯 她 而且 算 她爸她妈，  希望她再温室长大，以后出去工作  能让  几十号人 开', '特汪 累 活活   只帅气中透露 疲惫 汪.（特汪  开始  脸 ）虽然收入翻 一翻，可他汪  用命换 ，总结起来   特汪 被  “小姐姐”开  度 空调调戏 ，最可恶  空调  侧边， 对  吹  特汪 ， 如“小姐姐” .真 一千头那啥扑腾而过   这种酸']"
7,6,348,6_好困_昏昏欲睡_好想睡觉_能睡,"['好困', '昏昏欲睡', '好想睡觉', '能睡', '想睡觉', '中午', '犯困', '空调开', '空调吹', '瞌睡']","['开 空调，太暖和 ，好困', '空调开 好舒服 好想睡觉😪', '开 空调，暖风一吹 好想睡觉 又  秋 午后 昏昏欲睡']"
8,7,264,7_工作_上班_习惯_加班,"['工作', '上班', '习惯', '加班', '累死', '迟到', '一天', '点多', '每天', '明天']","['卧槽 这两天一直忙搬迁 体力活累死  累死  累死  累死  累死  累死  累死   真 好讨厌和废物共事，为什么  岗位职责 事  辛辛苦苦 弄，还有脸让 协助其他事项 ， 自己  吹 空调 弄 好本职工作吗？？ 还同时弄两个岗位耶， 自己  弄 好？活该被这么', '总结 因为全面放开，全   上班，没有居家  时候，所以全  挺累  一二 份，崴 脚，休养 两个  三 份开始上班，四 份换 校长，改 作息时间，上班 更成为一件痛苦 事情 六 份开始，周六  上班，越发 忙碌 七八 份  上班，假期很短，天气很热，但 安装 空调能', '好像习惯 每天起床 有热乎 早饭，习惯 崔姨问谁没有吃鸡蛋，习惯 无聊找梅爷爷梅奶奶聊天，习惯 每天第 打开  门打开空调 流程，习惯 看 大家 个走进 ，习惯 每天期待阿姨新做 各种饼，习惯 下班后蒋鑫平 篮球声，习惯 陈雨 键盘声，习惯 李杰 魔方声，习惯 抬头']"
9,8,251,8_老板_领导_主任_同事,"['老板', '领导', '主任', '同事', '公司', '进来', '主管', '想找个洞砖进去', '会有事哦', '牛奶想吐']","['高冷 总裁  好男主作者 木念之本文文案 一觉醒来，作为世界五百强企业总裁 首席秘书，方茉神奇地发现自己只 靠近老板一米内， 能听到他 心 声音 开股东大会时 某总裁正一脸严肃认真地听 下面人汇报工作时，方茉却听到 “ 命，谁把空调开这么低？风口正对   背好吗？冷死', '老板 公司， 喝  好 牛奶想吐，结果呛到，连打 几个大喷嚏 鼻子 HLL出血  然后开始慌神  好多血，会 会有事哦， 该怎么办 g   听后，来一句  每个 DYM来 比 这多多 ， 看 有事吗？ 完  后悔 ，想找个洞砖进去 然后只剩下  同事跟老板 空调', '老板 公司， 喝  好 牛奶想吐，结果呛到，连打 几个大喷嚏 鼻子 HLL出血  然后开始慌神  好多血，会 会有事哦， 该怎么办 g   听后，来一句  每个 DYM来 比 这多多 ， 看 有事吗？ 完  后悔 ，想找个洞砖进去 然后只剩下  同事跟老板 空调风中凌乱']"
10,9,231,9_好吃_外卖_午餐_太好吃,"['好吃', '外卖', '午餐', '太好吃', '麻辣烫', '中午吃', '味道', '好好吃', '零食', '快乐']","['， 超开心 ，吃到 带花卷 铁锅炖，量超级大 看 两部挺 错 电影， 得  小厅观影体验感巨好，没有孩子，空间超大，还 沙发，太爽 ，沉浸式家庭式体验电影 喝 好喝 腻 奶茶，主  买到 传 中西北门巨甜 大西瓜，才花 两块五买 巨大一块，超棒 ，当然还拒绝 老高过来', '纪大  各种表现之一，口味变 让  快 认识自己  .太喜欢吃蒜🧄 ，吃面吃饺子 得 蒜，火锅蘸料必须得有蒜末，蒜蓉生蚝扇贝娃娃菜 更别  爱吃 一米 .开始喜欢吃凉拌苦瓜 苦瓜炒鸡蛋这类菜 .开始迷恋黑巧克力 .开始觉得 加糖 拿铁很好喝之二，加入 怕冷怕空调', '纪大  各种表现之一，口味变 让  快 认识自己  .太喜欢吃蒜🧄 ，吃面吃饺子 得 蒜，火锅蘸料必须得有蒜末，蒜蓉生蚝扇贝娃娃菜 更别  爱吃 一米 .开始喜欢吃凉拌苦瓜 苦瓜炒鸡蛋这类菜 .开始迷恋黑巧克力 .开始觉得 加糖 拿铁很好喝☕之二，加入 怕冷怕空调吹老 组🙃']"
11,10,231,10_抽烟_二手烟_吸烟_烟味,"['抽烟', '二手烟', '吸烟', '烟味', '禁止吸烟', '窒息', '空调抽烟', '密闭', '空调房', '无语']","['抽烟   开 空调  抽烟   冬季开 空调 空气 流通  抽烟   见仁见智 ， 论性别 论物种[崩溃]', '为什么  开空调  抽烟', '同事  算  开空调    这 抽烟']"
12,11,229,11_夏天_夏天真_大夏天_夏天到,"['夏天', '夏天真', '大夏天', '夏天到', '开空调', '澳门节能周', '夏天吧', '夏天来', '炎热', '装备']","['理想 夏天模式什么叫做理想 夏天模式？枯藤老树昏鸦，空调WiFi西瓜——这 许多人夏天 标配答案 温度上 酷暑难耐有空调解决，但高温来带 烦躁感，急速流失 水分还需 靠西瓜才能安顿好  知道无论 还 家中，空调WiFi常有，而西瓜 常有 想 夏天 理想 被破坏？常备西瓜才 解决之道', '夏天 真 走 ， 已经 再开空调，夜晚下班回家 路上已经比凉爽更冷一些 刚走出公司楼没多远 开始下起 雨，还好大部分路上有骑楼遮挡 雨越下越大，到家楼下时头发和肩膀 湿透 ，但 更心疼  新鞋子 夏天真 过去 ，希望自己来 会更珍惜夏天', '开空调 ，夏天 来 么']"
13,12,215,12_空调吹_头昏脑胀_空调开_头晕,"['空调吹', '头昏脑胀', '空调开', '头晕', '窒息', '空调吹得', '感觉', '瑟瑟发抖', '噪音很大', '对肺和喉咙']","['现 想想，  空气估计有点问题，  户外戴口罩或者 家紧闭门窗开空调，气管 还好，只有点小痒，咳嗽能忍住，呼吸频率 还算正常，  待一段时间气管 开始奇怪， 知道空气 有啥触发气管收缩，吸气量  够 ，戴 口罩以很快 频率呼吸还 感觉眼冒金星', '空调坏  刚才太困眯 几分钟 迷迷糊糊像回到很多 前  夏天   睡午觉 因为停电 所以满头大汗 然后有人一直用  知道什么东西 东西给 扇风 迷迷糊糊 时候听到 跟旁人   从来没干过这种事 连 妈 没有 受过这种待遇  醒 之后又装作什么事 没发生过一样 这应该  对他印象最', '空调打 太高 ，背上老 出汗，衣服粘 汗扎得背上 痒痒 ，脸上又红又烫，下颌骨 位置因为太干起 密密麻麻 疹子 头发油油 贴 耳后和发痒 头皮上 看 一下午电脑，起身去上厕所想活动一下身体 别到耳后 两缕头发总 掉下来，  发丝轻盈地飘 ， 一低头 看到油腻腻 两绺头发挺']"
14,13,190,13_平米_面积_出租_会议室,"['平米', '面积', '出租', '会议室', '空间', '平方', '租金', '精装修', '地铁', '洽谈室']","['．多套精装小面积 可供选择，租金 元/ ~ 元/  等  ．专业高档写字楼形象，所有房间均能注册公司  ．免水费 电费 物业管理费 空调使用费  ．免装修，配家俱，上网 ，带电脑即可   ．共  设施 会议室 洽谈室 前台接待大厅 饮用水  ．特别适合 - 人  初创', '珠江新城CBD 出租[HO加油]含 水电费，空调费含 物业管理费含 高速光纤网络宽带费含 桌椅 柜子等设备购置费含 会议室 洽谈室 休闲区 书吧等公共区域 使用含 打印机 微波炉 冰箱 饮用水机等生活设备 使用 广州·富力盈隆广场', '错过会后悔哦  出租，杭州 出租，物业直租， 收取任何费用杭州全福弄口商务中心，地铁 号线枸桔弄站 地铁 号线驿城路站，联合 精装修 出租面积 平， - 个工位全包价，包含水电网络，空调，物业，会议室，洽谈室，接待室等']"
15,14,168,14_发烧_咳嗽_嗓子疼_感冒,"['发烧', '咳嗽', '嗓子疼', '感冒', '喉咙痛', '过吃', '舒服', '症状', '阴性', '面瘫']","['昨天上午 时候， 有人感染 ， 只 呼吸有些困难，自己一直认为 戴 口罩 原因，所以换  屋子，取下 口罩 午饭 时候， 发现严重 ，没什么胃口，有恶心 感觉 饭后， 开始睡觉， 点刚过 样子 空调 开   身体忽冷忽热，明显人 发烧， 没测体温 这样天黑 ， 拿核', '五脏六腑皆可致咳嗽，并 仅仅于肺，咳嗽久治 愈试试这种办法咳嗽 生活中比较常见  症状，普通 外感咳嗽中医经过疏风化痰 解表宣肺等治疗 能够能到治愈 但 们  聊 咳嗽 慢性咳嗽，病程超过  ，表现为持续  反复 咳嗽  少慢性咳嗽 患者经使用抗菌药物 化痰止咳等西药仍', '还没有零下 没有下雪🌨️ ，如此暖冬 先 发烧 又 咳嗽，吃药几天 输液几天 好 没几天，又 咳嗽，又 吃药 掰掰手指头才三天，又 头晕反胃 又 鼻塞流涕，嗓子发干咳嗽 感冒快  ，看病花小一千，实  太受罪 ，睡 睡 好，整个人颓颓']"
16,15,150,15_on_西瓜_daewoo_全麦面包,"['on', '西瓜', 'daewoo', '全麦面包', '重磅送两个', '超便宜', '沈阳', '免租期', '西双', '昆明']","['整理Ing   烘焙室 仓库 安装 空调 监控 吧台 咖啡机 没来得及及时通知sorry 韵染餐饮evolution食品有限公司 劳动节放假 . - .    . - .   感谢大家 支持🙆🏻\u200d♂️最后一张乱入   应该叫outside world很精彩', '感谢汪峰i on，又一次预测 娱乐大事件，这次汪峰演唱会翻唱“凉凉”吗？近期多名艺人近期接连注销工作室，包括邓超i on 那英 唐嫣 吴宣仪 孟美岐 文章 黄磊 何炅 魏大勋等，这 因为什么，好好 工作室  干 ，娱乐圈 有大瓜吗？   时候情侣收入，李晨i on范冰冰收入位列各明星CP', '感谢汪峰i on，又一次预测 娱乐大事件，这次汪峰演唱会翻唱“凉凉”吗？近期多名艺人近期接连注销工作室，包括邓超i on 那英 唐嫣 吴宣仪 孟美岐 文章 黄磊 何炅 魏大勋等，这 因为什么，好好 工作室  干 ，娱乐圈 有大瓜吗？   时候情侣收入，李晨i on范冰冰收入位列各明星']"
17,16,136,16_生活中凌误差_爽点瞬间_瞬间_凉爽,"['生活中凌误差', '爽点瞬间', '瞬间', '凉爽', '打开华凌神机二代', '那一刻', '打开空调', '每当', '早晨', '华凌神机二代']","['分 生活中凌误差 爽点瞬间 最近体验到 华凌神机二代  凌误差，真 让 感受到生活中 小确幸 🤩 每当 打开空调，瞬间 有凉爽 空气扑面而来，仿佛夏天 炎热瞬间消散 ❄️ 工作  早晨， 总 希望能多睡一会儿，', '分 生活中凌误差 爽点瞬间 炎热 夏季，打开空调 那一刻，凉爽 空气瞬间包围  ，真 太舒服  🌬️ 当  工作 早晨，自然醒来时，听到闹钟准时响起，心中感到无比欣慰，这   生活 小确幸 ⏰ 每当 到达', '分 生活中凌误差 爽点瞬间 炎热 夏天，打开空调 那一刻， 感受到 凉爽 空气瞬间扑面而来，真 太舒服  ❄️ 每天上班 早晨， 准时到达 ，打卡 时候心 总 美滋滋 ，仿佛时间 为 停 一下 ⏰ 工作  周']"
18,17,129,17_劳动_买茅台_吹空调_入五千以下,"['劳动', '买茅台', '吹空调', '入五千以下', '工作', '起茅台', '喝茅台', '太阳底下暴晒', '人为', '领高温补贴']","['喝茅台   买茅台，买茅台  喝 起茅台，劳动节放假   劳动，劳动   放假，领高温补贴    吹空调， 太阳底下暴晒 哪有补贴，穷人吃青菜叫寒酸，富人吃青菜叫养生，', '这  听过最现实 一段话 喝茅台   买茅台，买茅台  喝 起茅台，劳动节放假   劳动，劳动   放假，领高温补贴    吹空调， 太阳底下暴晒 哪有补贴，穷人吃青菜叫寒酸，富人吃青菜叫养生，吃糖  穷人，尿糖  富人，而个别女生面对贫富各有两大爱好，一 跟穷小子 钱，二', '这  听过最现实 一段话 喝茅台   买茅台，买茅台  喝 起茅台，劳动节放假   劳动，劳动   放假，领高温补贴    吹空调， 太阳底下暴晒 哪有补贴，穷人吃青菜叫寒酸，富人吃青菜叫养生，吃糖  穷人，尿糖  富人，而个别女生面对贫富各有两大爱好，一跟穷小子 钱，']"
19,18,128,18_空调坏_它坏_空调又坏_如死,"['空调坏', '它坏', '空调又坏', '如死', '蒸桑拿', '中央空调坏', '这个天', '拿出', '爆闷', '烂烂']","['空调坏 ，全  蒸桑拿', '第 工作 ，  空调坏', '空调坏 ? 空调坏 ?']"
20,19,117,19_厕所_卫生间_上厕所_喝水,"['厕所', '卫生间', '上厕所', '喝水', '空调比', '厕所比', '检修口', '厕所开空调', '一事', '去洗手间']","['近时，为保洁媪设“休息室”一事，屡为众人所议 众网友觉，往来于廊间，清理秽物，曳沉重之水桶，乃至寒冬腊 ，赤手拧冰冷之抹布之保洁媪，竟无一处专属休憩之所 此等共鸣，正明其非孤例  于诸多写字楼 商场 庠序，乃至医馆，皆未设专用之保洁休息室 观网友所传之照，彼等或只能于楼梯间仓', '厕所 空气 比 清新，真 会谢  空间挤满上百人，整天整夜 开窗（窗户只能打开一点）还刚装修好，还开 足足 暖空调，第一次想 厕所 胜于 ，', '最近，为保洁阿姨设立「休息室」一事，开始频繁地被大家所提及 很多网友发现，穿梭于走廊，清理垃圾，拖 沉重 水桶，甚至 最冷 冬天，赤手拧 冰冷 抹布 保洁阿姨，却完全没有 属于自己 休息空间 这种共鸣 恰恰 明 ，它  个例  许多写字楼 商场 学校，包括医院，  设有专用']"
21,20,106,20_夏天_冬天_制热_仅仅,"['夏天', '冬天', '制热', '仅仅', '迎来春天最冷', '身体能抗寒', '心中有阳光', '无怨', '常常浇花木', '那些花木哦']","['Deerma 德尔玛 DEM-F 加湿器 L | . 元包邮( . - 券)夏季开空调屋子 很干，秋冬天气干燥，北方冬季有暖气更加干，加湿器 家 ，  必 可少 小家电哦 这款加湿器规格 L，根据空气湿度可以三档调节雾量，能持续喷雾 小时，持续. O 链接', '送别冬 ，迎来春天最冷 冬 ， 中央空调 开关，一  曾问津焉  想，到 春天，空调更与春暖无关 节省  心，而 仅仅 电 锤炼  意愿，而 仅仅 身体能抗寒 室内 那些花木哦， 随同一起抗过 严寒 心中有阳光，最背阳 地方 会有温暖 常常浇花木，花木 无怨  这样，', '送别冬 ，迎来春天最冷 冬 ， 中央空调 开关，一  曾问津焉  想，到 春天，空调更与春暖无关 节省  心，而 仅仅 电 锤炼  意愿，而 仅仅 身体能抗寒 室内 那些花木哦， 随同一起抗过 严寒 心中有阳光，最背阳 地方 会有温暖 常常浇花木，花木 无怨  这样，一路']"
22,21,106,21_好热_这么热_好热好热好热_安空调,"['好热', '这么热', '好热好热好热', '安空调', '大柠檬李梦婷', '什么时候能开空调', '有多热呢', 'orz', '开空调', '脸红']","['热 热 好热    开空调  怎样', '好热，b 能 能开空调', '空调呼呼啦啦吹得还 如风扇管用 好热 好热 好热 好热 好热 好热 好热 好热 好热 好热 好热 好热 好热 好热 好热']"
23,22,105,22_下雨_下雨天_ksweets_parade,"['下雨', '下雨天', 'ksweets', 'parade', '大雨', '一天雨', '雨下', '雨天', '冻麻', '降温']","['看 向往 生活 一直 下雨 搞得  三十度 天气下 觉得  这  下雨 （因为 灯坏   暗 一点 加上空调温度有点低 冷冷 ）', '羽毛球快快结束 时候， 知道谁  一句，下雨 ，给大家整 惶惶 安 ，   例外 确实 ，一早 预报有雨， 过只有 小时 时段才有，可临近中午，突然 一阵黑压压 云过来，一阵急雨下下来 ，别看时间 长，地上 积水到晚上还看得见  早晨出来， 感觉比较冷 ，吃早饭 时候，大家', '下雨 下雨 ，但 白天  热成狗，空调 开放，对 小风扇吹，差点给 吹感冒  来一杯 家阿战同款if椰子水，冷藏过 果然更好喝 多哈世乒赛名单已出，等到正式比赛 时候， 明五 已过半 ，时间过得真快 ，感觉才过完 没多久呢 晚']"
24,23,104,23_电脑_乔治_停电_手机,"['电脑', '乔治', '停电', '手机', '取消灯光秀', '稳定煤炭供应', '保电', '大盘点', '能用', '公司停电']","['桌面mini取暖神器🔥 打字 再冻手  看图 ⃣️有浮力～卷花本 揪一位送🎁同款  ⃣️桌面神器虽 上班族  冬  有空调，但 长时间待 空调房，热气  上部，坐久 腿还 冷，打字手 会冷，有 这款暖风机，解决 这个问题~效果 错，所以家  添置 一台，放 书桌上，书房只', '公司  电脑太老一直 稳定 U盘 辛苦做 几十页 PPT突然 见，瞬间躁狂发作 想 压制下楼吃个钟薛高，抱一堆零食 何以解忧，唯有美食  空调太冷，无论 穿什么，身披西装 能上岗，这 公司上下一致 造型 缓缓情绪，继续干活 忠于自己，万物可期  深圳', '各地十一“保电”大盘点 取消灯光秀 稳定煤炭供应 疏导电价 O各地十一“保电”大盘点 取消灯光秀 稳定煤炭供应 疏导电价赞成 少点花拳绣腿，多点真抓实干，例如 无人时关空调关灯关电脑']"
25,24,104,24_咖啡_咖啡馆_饭团_喝奶茶,"['咖啡', '咖啡馆', '饭团', '喝奶茶', '吹空调喝奶茶', '热茶', '空调喝', '搞定', '空调费', '空调修好']","['一杯咖啡  贵， 寒冷 冬 ，连  空调费 省  而且 咖啡馆 特别有效率，基本上平时 做三个小时 内容，咖啡馆 小时 搞定  对于其它行业 人员好处更 用 ， 接待客户约 咖啡馆可能更加方便  少自由职业人员，基本  咖啡馆  ，', '找个有座位 瑞幸咖啡店，使用超低折扣券购买后自提， 喝瑞幸咖啡 最大乐趣所 ，  元以内 花销下体验最高 如果按照原价 多元一杯，再加再送费，   元以上 ，这价格为什么 去喝星巴克？既然买 咖啡，座位费 空调费  算 咖啡费 ，   喝咖啡店 咖啡， 多掏 座位费和空调费，', '这可能 最好 咖啡馆， 可能 最糟 咖啡馆  常常去星巴克干活，人来人往类似于白噪音 环境，更利于集中注意力，因此 这 效率会更高， 三天写 完 稿子， 这 可能半天 搞定  那为什么 糟糕呢？如果夏天来星巴克，那  为这 强劲 空调做好准备 反正 每次去， 冷得 命，如果']"
26,25,104,25_开花_一夜之间开_植物_花瓶,"['开花', '一夜之间开', '植物', '花瓶', '一朵', '放弃', '落花生', '熏死', '立即马上', '小黄花']","['赶 上春光，红梅花 一夜之间开 ，油菜花 一夜之间开 ，李花 一夜之间开 ，梨花 一夜之间开 ，放 院角 盆栽兰花 开 ， 先闻到香才发现  总  发现春天后，还没来得及好好感受，春天 完 ， 们 生活作息总 和春天擦肩而过 惊蛰一过，世界像翻 篇 街上已有人穿丅恤穿裙子  “', '天气暖和，温度 光照 有 ，家 多瓣各色 长寿花陆陆续续 开放  单位  单瓣长寿花寄养 物业  ，早已开花 ， 温暖，空调一直开  开花  放 那 给大家看看吧 养花这么多 ，体会 春天开 花最多，兰花很 好养 冬季 夏季 很多花难过 季节 每个花 各自有特点， 有自己', '巴西木开花寓意 好兆头， 实话 养护 一顿 真 容易，但 ，太  香    有多香， 这么和  吧，大冬天，开窗户开空调开门，楼道 老远 能闻见味儿，所有来 们  人 待  一会儿 赶紧走    知道 很努力 开花， 知道这    错，  知道， 很盼  开花，可 ，']"
