,Topic,Count,Name,Representation,Representative_Docs
0,-1,13031,-1_窗户_时候_知道_同事,"['窗户', '时候', '知道', '同事', '一天', '感觉', '没有窗户', '因为', '自己', '开窗']","['冬  少有阳光明媚  子  应该 窗户 没有 小  摸鱼 应该 公园 遛弯赏菊 应该 家门口逗弄野猫 应该 咖啡厅 和帅哥眉来眼去 西安西安高新医院', '吃 喵 窗户外面 天空', '春天真好哇 窗户 打开  暖洋洋 味道']"
1,0,2045,0_老师_教室_学生_时候,"['老师', '教室', '学生', '时候', '学校', '上课', '班主任', '同学', '然后', '他们']","['本来  窗户那拍 学生 老师 出去拍 外面更好看', '跳跳糖白粽 系 某老师最近 麻烦事 这样 他挂  本科生该女生哭得花容失色地找他 这门课对她很重 如果 给她及格她 从窗户上跳下去该老师惊怒道把 妈妈电话给  找她谈谈该妈妈听 以后  马上过来半小时后她出现 老师      给 女儿及格  从窗', '哈   点墨苏几颜大宝 如果 老师可能 会批评孩子早恋而 躲  窗户那偷看一边看还一边发出磕死   鹅叫']"
2,1,640,1_抽烟_烟味_吸烟_二手烟,"['抽烟', '烟味', '吸烟', '二手烟', '抽烟还', '烦死', '开窗', '领导', '开窗户', '本来']","['讨厌同事  抽烟，进来 开窗户，无语', '好冷  为什么 开 窗户  为什么   抽烟  男人 烦死', '抽烟   💩 打开窗户通风']"
3,2,481,2_梦到_梦见_然后_老师,"['梦到', '梦见', '然后', '老师', '做梦', '好像', '梦梦', '昨晚做', '房间', '最后']","['辣么 这样梦① 梦到 姐 她看到   ，    没发什么 ， 回答     纯追星 ，全 追星 没有其他  梦② 梦到和霁 一起，然后 们还 减肥， 俩梦  还 减肥，然后  吃东西，  吃 一小盒蓝莓和一串小葡萄，桌子上摆 一排打开 葡萄，紫色 绿色', '做  堪比“噩梦 梦，梦见 被女同追 一开始好像  男 ，个子还挺高，对 还挺好 ， 本来 想理会，后来还  一起 ，后来 黏 一起，让 觉得还挺幸福 ，好像还 外面 店 一起玩耍 后来好像中途还有什么恶婆婆， 当面一套，背后一套内耗恶婆婆，气她，最后 好像突然意识到这个人没', '昨晚 梦吧先 梦到  家 ，然后想去 地方锻炼， 那  锻炼完回来洗洗澡再去学校，然后 去骑车，车 辆紫色 ，山地紫 ，好像  ，反正 梦  名字 叫这个， 那 有 雪糕，自助  雪糕还 挺好 ，像梦龙 什么  正常卖  很贵  然后  准备回去 ，因为时间有点来']"
4,3,456,3_空调_开空调_预防空调病_放置一些绿色植物可以充当小小,"['空调', '开空调', '预防空调病', '放置一些绿色植物可以充当小小', '健康策略保持室内空气新鲜', '话保持室内空气新鲜', '所以最好每两三小时开窗换一次气', '空调坏', '最重', '空调开']","['健康策略保持室内空气新鲜 预防空调病 话保持室内空气新鲜 最重  所以最好每两三小时开窗换一次气  放置一些绿色植物可以充当小小 空气滤净器 健康 健康为本', '健康策略保持室内空气新鲜 预防空调病 话保持室内空气新鲜 最重  所以最好每两三小时开窗换一次气  放置一些绿色植物可以充当小小 空气滤净器 健康百态 健康', '健康策略保持室内空气新鲜 预防空调病 话保持室内空气新鲜 最重  所以最好每两三小时开窗换一次气  放置一些绿色植物可以充当小小 空气滤净器']"
5,4,437,4_北京_上海_深圳_杭州,"['北京', '上海', '深圳', '杭州', '窗户', '广州', '天气', '天津', '左转', '苏州将现']","['一一告别 上海 好朋友， 和上海 再见啦 =( 上海前前后后搬 五次家，没想到第六次  离开   心 空落落 ， 这 呆 四 ，从 喜欢 适应到爱上舍 得走， 算 吃遍  玩遍 上海，口味变得越来越清淡，看 太多好玩 新鲜 东西 女生  应该 待 大城市  没有人管 应该干什么，想', '这样 雨天，  应该 北京 ，而应该 江南，坐 窗前，凝望 屋檐下连成线 雨丝，听 雨滴敲打青石板 清脆，竹叶泛 似有似无 湿漉漉 清香，玻璃杯中龙井茶 芽叶逐渐舒展，无丝竹之乱耳，无案牍之劳形 事实 ， 此刻  连窗户 没有  雨天 北京', '自然 记    据 北京 下 雨 家这边却一滴 没下北京雨 东南风 级空气质量指数 昨夜又下 一场雨凉飕飕 睡觉 仅 需 开空调甚至 盖被子 觉得气温最多十几度这么凉爽 夜晚睡觉实 太舒服 据 北京 下 大雨但 家这边一滴 没下']"
6,5,407,5_下雨_大雨_来抱抱_雨声,"['下雨', '大雨', '来抱抱', '雨声', '窗户', '窗户没关', '外面', '下雨天', '暴雨', '窗户上']","['八 大部分时间  下雨，趁 天晴 几天，管理处把渗水 外墙刷 一遍防水，结果 们  窗户却渗水更严重  真 伤脑筋 昨夜听 窗外 雨声，想  可能又 抵挡 住 大水，真 一夜又半梦半醒 早上去公司，果然 发现除 留 那 接水 桶已经漫出，地毯更 浸湿 半块地方  推开窗', '突然 大雨 窗户没关 知道进水吗', '下雨 现 好喜欢下雨天 窗户打开听 雨声']"
7,6,390,6_这个冬天_发烧_感冒_戴口罩,"['这个冬天', '发烧', '感冒', '戴口罩', '口罩', '咳嗽', '同事', '生病', '咳嗽声', '流感']","['，发烧 🤒️大概 周六图书馆对面坐  感冒 人或者昨天晚上睡觉没关窗户又或者 白天  冻  有可能 吃 一盒过期 酸奶，总之发烧 🤒️头疼，喉咙疼，果然预料 没错，喉咙一疼 发烧，哎', '这个冬天 生病 哎呀，这天气 冷 冷，窗户上 结 一层薄薄 霜花，看  让人忍 住打个寒颤  可听  ，最近流感有点冒头，  已经有好几个同事 幸中招，听 他们此起彼伏 咳嗽声， 心  跟 揪 一下 所以今  早早  包 备好 免洗洗手液和消毒湿巾，碰到门把手 电梯按钮这些', '这个冬天 生病立冬一过，这北风刮 脸上真 有 实打实 寒意呢❄️  身边倒还没听 谁中招，但每 这时候流感病毒 特别活跃，想起来去 发烧咳嗽全身酸软 经历还心有余悸😷 这个冬天 最大 愿望  所有亲朋好友 能暖暖和和 健健康康 ，千万别被流感盯上呀🙏  到预防， 可 做足']"
8,7,356,7_例本土无症状感染者_疫情防控_例无症状_行动,"['例本土无症状感染者', '疫情防控', '例无症状', '行动', '自己健康', '新型冠状病毒感染', '肺炎疫情防控工作领导小组', '通报', '发布重', '提示中秋国庆双节假期临近人员流动性加大旅游聚会等活动增多疫情防控压力持续增大为巩固来之']","['连云港新增本土确诊 例无症状 例连云港本轮累计报告确诊 例无症状 例据连云港发布     时连云港市海州区新增新冠肺炎本土确诊病例 例本土无症状感染者 例 截至目前连云港市本轮疫情累计报告新冠肺炎本土确诊病例 例本土无症状感染者 例请广大市民 信谣', '连云港新增本土确诊 例无症状 例连云港本轮累计报告确诊 例无症状 例据连云港发布     时 市海州区新增新冠肺炎本土确诊病例 例本土无症状感染者 例 截至目前 市本轮疫情累计报告新冠肺炎本土确诊病例 例本土无症状感染者 例请广大市民 信谣 传谣继', '话 健康    能摘口罩吗疫情防控当下随 各行各业 复工复产口罩成 人们外出随身佩戴 必需防护品然而天气渐热每天长时间佩戴口罩 令一些人感到憋闷 适许多人想问如果 写字楼等 场合只 自己座位上工作可以摘掉口罩吗单人 可摘掉口罩中国疾病预防']"
9,8,246,8_over_老板_领导_某某,"['over', '老板', '领导', '某某', '工作群', '主任', '门上方有个标牌', '从事某事', 'door', '上方例如theres']","['主管每天什么事  做最喜欢   假装尿急  来回巡视， 他又气宇轩昂地从 背后走过去 ，一边走一边看  手机和电脑屏幕， 本来想回头问问主管   喝水 ，结果 小心把桌上 鼠标打下去 ，鼠标掉到主管脚边，他踩 鼠标 划走 ，直接冲向三十楼 落地窗拦 拦 住，没想到这主管个子', '英语Over 高频口语用法大合集 再一次又一次例如He had to do it over 他 得 再做一次 表示 从事某事 同时边边例如Lets talk over  offee  们边喝咖啡边聊吧  之上 上方例如Theres a sign over the door 门上方有个标牌 越过跨过', '今 知识拓展Over 高频口语用法大合集 再一次又一次例如He had to do it over 他 得 再做一次 表示 从事某事 同时边边例如Lets talk over  offee  们边喝咖啡边聊吧  之上 上方例如Theres a sign over the door 门上方有个标牌 越']"
10,9,245,9_飞走_小鸟_出去_一声,"['飞走', '小鸟', '出去', '一声', '什么鸟', '窗户上', '羽毛', '飞进来', '玻璃上', '一声撞']","['一些 救鸟 发想因为这只看起来又倔又笨 鸟用拖把把它从窗户上拽下来以后看 他飞到 下一层但 一开始一直以为它认为那个窗户  存  并没有想到它可能已经受伤  那之前 看到它站 门口至少看起来 没有问题 没有断脚或 翅膀有明显 伤痕因为它飞到 那层 领导 隔壁', '一些 救鸟 发想因为这只看起来又倔又笨 鸟，用拖把把它从窗户上拽下来以后，看 他飞到 下一层，但 一开始一直以为它认为那个窗户  存  ，并没有想到它可能已经受伤 （ 那之前 看到它站 门口至少看起来 没有问题 ，没有断脚或 翅膀有明显 伤痕）因为它飞到 那层 领导 隔壁', '小鸟 记昨天外面下雨 ， 窗台站 一只小鹦鹉，打开窗户后，它 飞进来  站 鱼缸上喝水，渴坏 吧，它一点  怕人， 想应该 飞丢 小鸟 晚上吃饭 时候 去食堂给它抓 一点小米，它 吃 很开心 窗户没有关，万一它 回家呢，果然等 再回 它 飞走  意外   早上 去 它']"
11,10,219,10_小猫_萧逸_好运连连_猫碗,"['小猫', '萧逸', '好运连连', '猫碗', '猫猫', '没找到', '小区', '可能', '第一反应', '肚子']","['小曾 考编 记 今早五点多被大风刮醒，起来把窗户关 之后继续睡到八点才起床[发芽]感觉这  印象 南阳风最大 一次，上午老师讲课 超大话筒声 没盖过窗外 风声 下午课间休息听到 传来小猫 叫声， 猜可能 那只三花猫生 ，于  进去看 一下，老师 那只三花猫 一天 没回来 ，', '桌上 知怎么多 一件啤酒一包瓜子三袋酸奶昨晚应该 有人到家  却一点印象 没依稀记得朋友问  隔壁桌喝 多少然后 片状态好  十分钟以后 可能 失忆嗯十分钟 没  忘记 后来所有 事 京东买 猫砂猫粮为  新伙伴准备 一只黄色 小猫但 有个担心如果', '做自然 朋友桌上 知怎么多 一件啤酒一包瓜子三袋酸奶昨晚应该 有人到家  却一点印象 没依稀记得朋友问  隔壁桌喝 多少然后 片状态好  十分钟以后 可能 失忆嗯十分钟 没  忘记 后来所有 事 京东买 猫砂猫粮为  新伙伴准备 一只黄色 小猫但 有']"
12,11,204,11_味道_闻到_香味_开窗,"['味道', '闻到', '香味', '开窗', '味儿', '香水', '洗澡', '难闻', '好臭', '臭味']","['男人臭到哪种程度呢因为冬天嘛所以大家 门  关  窗户  紧闭这 导致 推开 们男领导 门 时候一股长久 洗澡 油脂老人味儿整个呛鼻 从进去 到签完文件出来全程 屏住呼吸 真怕吸 一口气 晕倒 他  刚刚男领导又推门进 们 指导工作', '男人臭到哪种程度呢 因为冬天嘛，所以大家 门  关  ，窗户  紧闭，这 导致 推开 们男领导 门 时候，一股长久 洗澡 油脂老人味儿，整个呛鼻  从进去 到签完文件出来，全程 屏住呼吸， 真怕吸 一口气 晕倒 他   刚刚，男领导又推门进 们 指导工作', '每天早上那个男同事    吃桶面之前  从外面回到室内，还没进门口， 闻到熟悉 味道，    上来什么味儿直到听见那人 呲溜呲溜吃泡面， 才知道 泡面味今早 闻到 什么 香味 以为  身上衣服，使劲闻，   还 疑惑从哪 过来 味道？直到那人又开始吃别 口味 泡面']"
13,12,201,12_阳光_夕阳_晚霞_太阳,"['阳光', '夕阳', '晚霞', '太阳', '透过', '窗户', '太阳坐', '窗户有点脏', '对面', '个好天气']","['虽然这 晴天很少，但 窗户朝南，偶尔出太阳 时候  望 发光 金色海面发呆，真有一种很明亮很奢侈 感觉 所以周末没事 喜欢去 待', '窗户朝西南，到 下午两点，阳光会洒进来，正好照   电脑屏幕上 这时只需拉下遮阳卷帘 可以  只 有个问题，卷帘 烈 照射下会发出刺鼻 味道，熏得 头晕 于 ， 面临两个选择 晒得晕乎乎，或者熏得晕乎乎  通常会选择晒模式，直到受  ，再切换至熏模式 如此循环几次之后，太', '透过 窗户看到 晚霞']"
14,13,197,13_风水_布局_财位_大门,"['风水', '布局', '财位', '大门', '摆放', '公司', '避免', '卧床或者', '椅或者沙发后面', '住宅或者']","['哪些家居风水易招小人 非① 自家窗台上摆放植物 家居风水中窗户 家中气流 进出口好比人 眼睛和心灵假如 此处摆放植物会阻碍气流 通行影响家人 人际交往容易受到小人 嫉妒和攻击身边 朋友逐渐减少② 睡床床头上摆放像片当人 睡觉时自己 气场最为衰弱对外界干', '星座妈妈   财位   财位 进门斜对角该位置 明亮干净忌空门  空 放假花  没有窗户 大凶因为空气无法交流死气沉沉  桌后方最忌空门所谓空门  后方 门或窗构成缺乏安全感最 易集中精神   桌最好 用木质材料', '星座妈妈  财位   财位 进门斜对角该位置 明亮干净忌空门  空 放假花  没有窗户 大凶因为空气无法交流死气沉沉  桌后方最忌空门所谓空门  后方 门或窗易缺乏安全感最 易集中精神   桌最好 用木质材料']"
